,sents,sentiments,topics
6108,nghiêm túc .,1,0
6109,"giảng hay , ra bài tập hay .",2,0
6110,quan tâm nhiều đến sinh viên .,2,0
6111,"điều em không hài lòng nhất là cô cho nghỉ quá nhiều , đến gần cuối kỳ cô mới dạy và học bù để chạy bài .",0,0
6112,giảng viên hài hước .,2,0
6113,"nội dung ôn tập thi giữa kỳ và cuối kỳ nên đa dạng hơn , có thêm các câu hỏi lý thuyết suy luận thay vì chỉ là 10% bài tập có thể khiến nhiều sinh viên không hiểu rõ nội dung môn học mà chỉ biết làm bài tập .",0,1
6114,mỗi buổi thực hành giảng viên chỉ đưa sinh viên một file bài tập rồi bắt sinh viên làm nhưng không có hướng dẫn và đưa ra yêu cầu cụ thể .,0,1
6115,giảng viên hướng dẫn tận tình chu đáo .,2,0
6116,nên tổ chức thi hình thức trăc nghiệm .,0,1
6117,cách giảng dạy không tạo được hứng thú cho sinh viên khi học .,0,0
6118,cần ra các bài thực hành sát với thực tế môn học hơn .,0,1
6119,"tận tình , quan tâm đến sinh viên .",2,0
6120,slide của thầy đưa cho sinh viên có nhiều chỗ sai .,0,1
6121,"giảng viên nên thường xuyên lên lớp , và không để trường hợp thay thế giảng viên khác .",0,0
6122,thầy dạy hay nắm được kiến thức .,2,0
6123,"cô nhiệt tình , thoải mái , giải đáp thắc mắc của sinh viên khá nhanh .",2,0
6124,tăng thời gian thực hành .,0,1
6125,"cô chỉ cho bài tập về nhà kêu làm và nộp , không giải thích gì thêm .",0,0
6126,đôi khi hơi nhàm chán .,0,0
6127,"lớp có 3 thầy nhưng không biết thầy wzjwz282 , 3 thầy đó là doubledot wzjwz283 , wzjwz284 , wzjwz285 .",1,0
6128,"đa phần là tự học là chính , có thể là do chương trình đại học quốc gia .",0,1
6129,cô dạy rất nhiệt tình và tâm huyết .,2,0
6130,"thầy hay cho deadline hằng tuần , đảm bảo kiến thức cho sinh viên .",2,0
6131,không nêu rõ ví dụ chi tiết cho các bài tập .,0,1
6132,"phòng học còn thiếu chất lượng , trời nóng nên bố trí thêm quạt cho dãy hai bên phòng .",0,2
6133,em hiện chưa biết mặt thầy luôn ạ .,0,0
6134,sinh viên có cảm giác thầy giảng như cho có .,0,0
6135,hoàn thiện giáo trình thực hành .,1,1
6136,slide còn khó hiểu .,0,1
6137,nắm bắt được những điều khái quát ban đầu về môn học của mình .,2,1
6138,"rất nhiều vấn đề khó hiểu nhưng thầy không dạy một cách tường tận khiến sinh viên rơi vào "" hố đen "" .",0,0
6139,giảng viên dạy rất tốt theo nhiều mặt .,2,0
6140,"cô dạy hay , truyền đạt cũng tốt .",2,0
6141,"giảng viên dạy hay , hướng dẫn rõ ràng .",2,0
6142,"giảng viên sử dụng giờ hợp lý , giảng dạy dễ hiểu .",2,0
6143,"vì đôi khi một đề lâp trình nào đó có thể người này đã làm qua rồi , người khác thì chưa hề đọc qua kiến thức ấy trong khi thời gian làm bài chỉ có 60 phút .",0,3
6144,"nên bỏ kiểm tra code trên giấy , thay vào đó code bằng máy tính sẽ dễ sửa lỗi và điều chỉnh hơn .",0,1
6145,giáo viên rất tận tình trong quá trình giảng dạy .,2,0
6146,giáo viên dạy nhiệt tình hiệu quả .,2,0
6147,phòng lab còn chưa đáp ứng tốt .,0,2
6148,"giọng nói hơi khó nghe , ngoài ra không có gì không hài lòng .",0,0
6149,sáng tạo .,2,3
6150,các bài tập thực hành áp dụng được kiến thức đã học trên lớp .,2,1
6151,"giảng viên nhiệt tình , tài liệu đầy đủ , đảm bảo gờ lên lớp .",2,0
6152,thầy dạy rất dễ hiểu và hài hước .,2,0
6153,cần mở câu lạc bộ anh văn .,0,1
6154,"không quy định rõ ràng quy định khi cho sinh viên làm đồ án , còn một tháng cuối mới gửi mail thông báo làm sinh viên thay đổi không kịp .",0,0
6155,"giảng viên nhiệt tình , giảng dạy kỹ càng , chi tiết , bám sát chương trình .",2,0
6156,"cần có thêm giáo trình , tài liệu để sinh viên dễ tìm hiểu hơn .",0,1
6157,thầy wzjwz171 tích cực cho và chủ động giải những ví dụ rất nhiều và dễ hiểu .,2,0
6158,đôi lúc cô dạy hơi khó hiểu .,0,0
6159,"dạy đầy đủ chương trình , tích cực kiểm tra học sinh .",2,0
6160,đôi khi quá nghiêm túc .,0,0
6161,"giảng viên tận tình chỉ dạy , truyền đạt tốt .",2,0
6162,"nhưng số buổi gặp cô ít quá , mong phòng đào tạo sắp xếp số buổi được gặp nhiều hơn .",0,0
6163,"tiết thực hành nên tập trung vào đồ án , những cái chưa làm được .",0,1
6164,"thầy dạy rất nhiệt tình , nội dung dạy truyền đạt đầy đủ và chi tiết .",2,0
6165,"em thích cách dạy của cô , kết hợp thuyết trình và cuối tiết đánh giá góp ý cho sinh viên , giúp phát triển kỹ năng nói cho sinh viên .",2,0
6166,phòng lab rất nhỏ và ít thiết bị nên chất lượng học tập môn học không đảm bảo .,0,2
6167,thầy đến lớp muộn 15 phút .,0,0
6168,nên chuyển qua phòng học khác không có máy tính và nhỏ hơn .,0,2
6169,"thầy giáo vui tính , nhiệt huyết giảng dạy dễ hiểu .",2,0
6170,tạo nhiều cơ hội cho sinh viên trau dồi kiến thức cũng như cải thiện điểm số .,2,1
6171,"khi lớp có các bạn vắng quá nhiều , thầy gọi lớp trưởng để nhác nhở các bạn trong lớp đi học .",2,0
6172,"kiến thức trải dài , không tập trung .",0,1
6173,để dành thời gian lên lớn đến giảng bài cho sinh viên hiểu và giải đáp thắc mắc cho sinh viên không phải em mà rất nhiều người khác cũng phàn nàn về cách dạy của thầy .,0,0
6174,tâm huyết và nhiệt tình với sinh viên .,2,0
6175,"thầy dạy dễ hiểu , tận tình với sinh viên .",2,0
6176,"giảng viên tận tâm , nhiệt tình , bài giảng khá kỹ .",2,0
6177,giảng viên không sử dụng hiệu quả thời gian trên lớp mỗi buổi học .,0,0
6178,đôi lúc không tiếp thu được .,0,0
6179,"thầy dạy rất nhiệt tình và thầy rất năng động , luôn giải đáp các khúc mắc của sinh viên và nhất là khúc mắc về đồ án .",2,0
6180,"có một điều rất bất cập là tiến độ của thực hành đi trước lý thuyết rất nhiều , thực hành đã qua từ rất lâu trong quá trình thực hành thì việc tìm hiều thông tin , tiếp thu rất khó khăn , một thời gian sau , gần hết học kỳ thì lý thuyết mới dạy tới phần đó .",0,1
6181,làm khó sinh viên .,0,3
6182,"thưa , thầy dạy rất dễ hiểu và luôn áp dụng bài học trên những dòng code thực tế và chạy trước lớp .",2,0
6183,"dạy nhiệt tình , dễ hiểu .",2,0
6184,trình độ chuyên môn đáng ngại .,0,0
6185,"ngoài các cuộc thi về game thì trường nên tổ chức những cuộc thi viết phần mềm hay sáng tạo ý tưởng phần mềm theo một hướng nào đó để học sinh vừa có thể học tập vừa có thể thi đua nhiều hơn , tạo sự năng động trong sinh viên .",0,1
6186,truyền đạt dễ hiểu chi tiết .,2,0
6187,cần nghiêm khắc hơn trong quá trình học .,0,0
6188,"cô rất nhiệt tình , dạy chi tiết , chuẩn bị bài hay nội dung trên courses cẩn thận .",2,0
6189,ví dụ minh họa chưa thật sự gây hứng thú trong học tập .,0,1
6190,"không đảm bảo tính khách quan , công bằng trong quá trình giảng dạy sinh viên giữa các khoa , luôn thiên vị khoa wzjwz156 .",0,1
6191,cô nên quan tâm tới sinh viên hơn nữa .,0,0
6192,không thấy được ứng dụng thực tế .,0,1
6193,sắp xếp thời gian học phù hợp hơn cho cả sinh viên và giảng viên .,0,1
6194,thầy wzjwz227 dạy rất hay và cực kỳ dễ hiểu .,2,0
6195,có đôi lúc cô giảng nhưng em không hiểu .,0,0
6196,có liên hệ môn học với thực tế .,2,0
6197,không hài lòng cho lắm .,0,3
6198,"bài tập về nhà quá nhiều , làm cho sinh viên không có nhiều thời gian để làm đồ án và học môn khác .",0,1
6199,giảng viên giảng dạy cụ thể đưa ra ví dụ minh họa giúp sinh viên dễ tiếp thu bài .,2,0
6200,"không thông báo cho sinh viên , sinh viên nhiều lần lên trường rồi lại về dot mất thời gian !",0,0
6201,"giảng viên nhiệt tình , đến lớp đúng giờ .",2,0
6202,"cô vui vẻ , nhiệt tình .",2,3
6203,theo em lý thuyết quan trọng nhưng cơ bản là sau khi học xong sinh viên có thể làm được gì mới là điều quan trọng nên em có đề xuất là tăng tỷ lệ điểm về phần thực hành lên mức tối đa có thể để đánh giá được kết quả học tập của sinh viên .,0,1
6204,"giảng viên cần đưa ra những ví dụ thực tiễn minh họa cho bài học , không nên giảng quá nhiều về lý thuyết trừu tượng , nên sửa bài tập để sinh viên có thể sửa những lỗi của mình trong khi làm bài bài tập .",0,0
6205,cho nghỉ nhiều hoặc lên lớp không có ai dạy .,0,0
6206,thầy giảng bài dễ hiểu nhiệt tình !,2,0
6207,không đánh giá đúng thực lực của sinh viên .,0,0
6208,"ít giảng bài cho sinh viên , sinh viên thắc mắc không được giải đáp cặn kẽ , rất mơ hồ .",0,0
6209,"cô chỉ dẫn nhiệt tình , giải đáp thắc mắc kịp thời .",2,0
6210,"cái gì không biết thì phải tự mày mò tìm kiếm , không thể cứ trông đợi lời giải đáp từ giảng viên .",2,3
6211,nên cập nhật thêm nhiều chuẩn web mới như progressive web app hay amp có tác động tốt đến seo .,0,1
6212,điều chỉnh máy lạnh phù hợp với thời tiết .,0,2
6213,giáo viên có thể cung cấp slide bài giảng trước cho sinh viên để sinh viên nghiên cứu trước mỗi buổi học .,0,0
6214,"thầy dạy hay , dễ hiểu , ví dụ minh họa thực tiễn .",2,0
6215,"chưa được cung cấp hay giới thiệu về tài liệu tham khảo , thời gian chép bài trên bảng còn tốn hơi nhiều thời gian .",0,1
6216,được thực hành trên thiết bị thực .,2,2
6217,cần tăng cường ôn tập để kiểm tra như doubledot đưa ra một số đề kiểm tra tham khảo cho sinh viên .,0,1
6218,"về bài tập , không bao giờ dạy tính toán gì cả , mà về nhà thì bài tập , deadline , rồi bài làm 15 phút trên lớp , đủ kiểu kiểm tra .",0,1
6219,"giản viên không có tương tác với sinh viên , đọc slide xong rồi về .",0,0
6220,"thầy dạy rất hay , nhiệt tình .",2,0
6221,"thầy dạy nhiệt tình , tâm huyết .",2,0
6222,giảng viên giảng dạy hiệu quả bằng tiếng anh .,2,0
6223,"nhiệt tình , tận tâm và tuyệt vời .",2,0
6224,"em cảm ơn thầy colonlove à còn cái thầy vui tính ghê , cười đùa nói chuyện thân thiện .",2,0
6225,thầy có giải thích phần thực hành trước khi cho sinh viên làm .,2,0
6226,để dễ dàng vận dụng kiến thức trên lớp .,0,3
6227,"truyền đạt tốt , nhiệt tình , thân thiện với sinh viên .",2,0
6228,em rất thích những tiết sửa bài tập của cô .,2,0
6229,"thầy tận tâm , dạy dễ hiểu .",2,0
6230,giảng viên cho bài tập để làm .,1,0
6231,"giảng viên vui vẻ , nhiệt tình , kỹ năng truyền đạt tốt .",2,0
6232,độ tập trung và cách làm việc của thầy rất nghiêm túc quy cũ .,0,0
6233,"thầy dạy dễ hiểu , vui tính , nhiệt tình , gần gũi với học sinh .",2,0
6234,không có ý kiến chất lượng môn học vừa đủ cho mọi sinh viên .,1,3
6235,giọng nói của cô hơi khó nghe nhưng dần dần quen rồi thì mọi việc điều tốt .,1,0
6236,có thêm nhiều phong trào liên quan tới tiếng anh hơn nữa .,0,1
6237,"vui tính , tận tình .",2,0
6238,"cô giảng dạy tận tình , không khí học tập vui vẻ .",2,0
6239,cần nâng cao chất lượng dạy .,0,1
6240,kiến thức cao .,0,1
6241,tăng cường ôn tập để kiểm tra như doubledot cho sinh viên làm thử các đề kiểm tra .,0,1
6242,"nếu có thể nhà trường ngoài việc lên kế hoạch thành lập một câu lạc bộ tiếng anh , cũng nên tạo điều kiện cho sinh viên tìm hiểu ngoại ngữ khác như tiếng nhật , tiếng trung .",0,1
6243,"cười duyên , rất tốt với học sinh .",2,0
6244,"bên cạnh đó còn có rèn kỹ năng viết , kỹ năng hoạt động nhóm và tương tác trực tiếp rất hiệu quả .",2,1
6245,mong kỳ sau thầy vẫn dạy một số môn khác .,2,0
6246,có những câu chuyện thực tế về môn học giúp buổi học đỡ căng thẳng cũng như có cách nhìn trực quan hơn .,2,0
6247,không có gì phàn nàn về giảng viên .,1,0
6248,phòng máy có quá nhiều máy không sử dụng được .,0,2
6249,thầy dạy quá tốt .,2,0
6250,nên cập nhật những phương pháp dạy phản xạ để tạo hướng thú cho sinh viên .,0,1
6251,"tích cực trong giảng dạy , vui vẻ .",2,0
6252,tránh trường hợp lý thuyết chưa học mà làm bài thực hành .,0,1
6253,"dạy không tận tình , dạy cho có cho đầy đủ trách nhiệm .",0,0
6254,cần có đề cương môn học rõ ràng .,0,1
6255,"dành thời gian cho kỹ năng nói trong giờ học càng nhiều càng tốt , thời gian dành cho việc này em thấy chưa đủ .",0,1
6256,cô giảng dạy rất nhiệt tình !,2,0
6257,"cô dạy nhanh lắm , chúng em không theo kịp .",0,0
6258,cần viết riêng một cuốn sách về hướng dẫn thực hành oop .,0,1
6259,sử dụng thời gian một cách hợp lý .,2,0
6260,thầy thường xuyên đặt ra các câu hỏi trên lớp giúp sinh viên dễ tiếp thu bài .,2,0
6261,"giáo viên nhiệt tình , giảng dạy tốt giúp truyền đạt kiến thức tới sinh viên .",2,0
6262,"giảng viên thân thiện , nhiệt tình trong giảng dạy như hướng dẫn thực hành hay giải đáp thắc mắc của sinh viên .",2,0
6263,giảng viên nên đi dạy thường xuyên hơn .,0,0
6264,"cung cấp đầy đủ kiến thức , giúp sinh viên định hướng tốt .",2,0
6265,cố dạy rất tốt .,2,0
6266,"mỗi lúc hết tiết sớm , thầy thường giảng cho các sinh viên những kiến thức môn bên ngoài như lập trình giúp sinh viên giải đáp một số thắc mắc hoặc một số bài tập nâng cao .",2,0
6267,coi thi quá khó .,0,0
6268,"thời gian học tập thoải mái , thầy rất hiểu tâm lý sinh viên .",2,0
6269,bài tập đầy đủ lý thuyết dễ hiểu .,2,1
6270,thầy đi đúng giờ .,2,0
6271,thời gian bù môn học thường bị trùng với những tiết khác nên em thường phải bị vắng tiết .,0,1
6272,em rất thích học cô nhưng đáng tiếc là không còn được học cô nhiều nữa .,2,0
6273,tạo ra các hoạt động giúp tụi em chủ động tìm hiểu kiến thức và ghi nhớ bài học sâu hơn .,2,0
6274,"cô cho nghỉ khá nhiều , dù có học bù nhưng như vậy khá là mất thời gian của sinh viên .",0,0
6275,cần sửa chữa các linh kiện phòng máy wzjwz23 vì một số chuột đã hư .,0,2
6276,ít trả lời mail hỏi bài tập thực hành của sinh viên .,0,0
6277,cung cấp kiến thức đầy đủ .,2,0
6278,"giảng dạy nhiệt tình , hiệu quả .",2,0
6279,hỗ trợ thêm tài liệu cho sinh viên .,0,2
6280,âm thanh phòng học wzjwz238 còn quá nhỏ nên khiến thầy thường nói không micro .,0,2
6281,"thầy dạy rất tận tâm , kiến thức chuyên môn cực tốt .",2,0
6282,có thông báo về lịch thi nói trên web môn học .,2,3
6283,chỉ dẫn tận tình từng bạn .,2,0
6284,đôi lúc giảng bài hơi bị nhanh .,0,0
6285,"đề cương cần được đổi mới , phân rõ phần trọng tâm môn học và phần đọc thêm mở rộng .",0,1
6286,"cần sử dụng giờ lên lớp có hiệu quả , ít nghe điện thoại , ít nghỉ dạy hơn .",0,0
6287,giảng viên chú trọng vào nội dung chính của môn học và nhiệt tình .,2,0
6288,giáo viên nghỉ dạy .,0,0
6289,cần cho ví dụ nhiều hơn .,0,1
6290,"nhiệt tình , đề cương đầy đủ .",2,0
6291,lúc thầy giảng chung cả lớp rất khó để các bạn dưới lớp nghe được giọng thầy .,0,0
6292,không có ý kiến !,1,3
6293,theo em thì không thể trách thầy wzjwz120 mà lỗi là do daa đưa lịch học thực hành quá chậm trễ .,0,1
6294,"nhiệt tình , sử dụng hiệu quả giờ lên lớp .",2,0
6295,mong thầy dành nhiều thời gian hơn trong việc ôn sửa các dạng bài tập có trong các kỳ thi .,0,0
6296,"cô giảng rất hay , thâm thúy , giúp cho sinh viên dễ dàng hiểu bài .",2,0
6297,ngoài ra còn cung cấp thêm một số kiến thức mới mà không có trong chương trình dạy .,2,1
6298,chỉ cho sinh viên biết nhiều điều cốt lõi trong môn học mà ít ai biết .,2,0
6299,"thời gian các buổi học , thông báo nghỉ chưa chính xác .",0,0
6300,thầy dạy nhiệt tình và thân thiện với sinh viên .,2,0
6301,không có gì ạ .,1,3
6302,giảng hay và rất vui .,2,0
6303,"giáo án ngắn gọn , dễ hiểu , dạy học nhiệt tình .",2,0
6304,"thầy giảng dạy nhiệt tình dễ hiểu , sửa bài tập kỹ .",2,0
6305,môn học vẫn còn là một môn với nhiều lý thuyết trong slide .,0,1
6306,mong nhà trường tạo điều kiện cho sinh viên chúng em được nghiên cứu nhiều hơn là phải làm theo .,0,1
6307,"cần tăng số buổi thực hành cũng như trang bị thêm trang thiết bị như mua thêm nhiều switch , router , hub , bridge , trong phòng ngồi học mà ít bụi và nòng đi thì tốt hơn , vdotv .",0,2
6308,cần có thêm bài tập về nhà và sửa một vài bài tập đó trên lớp để việc tiếp thu bài được sâu hơn và hiệu quả hơn .,0,1
6309,thầy đưa deadline trễ và không rõ ràng .,0,0
6310,phòng máy vẫn còn nhiều thiếu sót .,0,2
6311,"lý do doubledot sinh viên mới bắt đầu tiếp cận môn học chưa hiểu rõ các từ chuyên nghành nên không hiểu nội dung bài giảng , dù giảng viên giải thích bằng tiếng việt .",0,1
6312,quá nhiều kiến thức phải học .,0,1
6313,"giảng viên dạy dễ hiểu , dễ tiếp thu .",2,0
6314,giảng viên không dạy sinh viên .,0,0
6315,không quan tâm đến sinh viên .,0,0
6316,cách truyền đạt của giảng viên không được thu hút sinh viên lắm ạ .,0,0
6317,"em đã nán lại thêm nhưng thầy đi qua đi lại bảo 2 , 3 lần nên em đã về .",0,0
6318,có nhiều chỗ hơi khó hiểu trong khi thầy dạy nhưng thầy không giải thích nhiều .,0,1
6319,"bài giảng thu hút , dễ hiểu .",2,1
6320,giọng của thầy không được hay lắm .,1,0
6321,giảng viến quan tâm nhiều đến sinh viên .,2,0
6322,"giảng viên tận tụy , giảng dạy dễ hiểu có vận dụng các bài học vào thực tiễn , giúp sinh viên nắm rõ ràng và đầy đủ kiến thức .",2,0
6323,"giảng viên giảng dạy nhiệt tình , chi tiết , slide bài giảng và bài tập đầy đủ .",2,0
6324,chúc cô thành công !,2,3
6325,giảng bài khá nhanh .,0,0
6326,nghe kể chuyện hay nhiều trong khi học .,2,3
6327,"dạy dễ hiểu , nhiệt tình , vui tính .",2,0
6328,bài tập thầy cho khá hay và dễ hiểu bài .,2,1
6329,"theo ý kiến chủ quan của em , việc giảng dạy hoàn toàn bằng tiếng anh cho lớp chất lượng cao là rất thiết thực , nhưng với trình độ tiếng anh hiện nay của lớp thì hiệu quả học tập của lớp vẫn còn kém .",0,1
6330,"đôi khi dạy hơi chán , không thu hút được chú ý của học sinh .",0,0
6331,ra đề thi giữa kỳ không bám sát vào bài tập đã làm trên lớp .,0,1
6332,"giảng viên nên cho bài tập về nhà có nhưng chưa hợp lý , giảng viên nên giành chút thời gian sưu tầm bài tập từ dễ nhất đến khó nhất mỗi chương khoảng 30 bài nhất là các bài có thể thi .",0,0
6333,thầy cần tương tác nhiều với sinh viên .,0,0
6334,thầy nên chú trọng đến truyền đạt cho sinh viên nhiều hơn .,0,0
6335,"tuy nhiên , bài giảng của thầy chưa được bài bản lắm , có phần hơi tùy hứng .",0,0
6336,"cô rất dễ thương , hiền nữa .",2,3
6337,"thầy vui vẻ , dạy dễ hiểu .",2,0
6338,"giảng viên trình bày slide dễ hiểu , bài tập mức độ vừa phải , chữa bài tập chi tiết , đầy đủ , nhiệt tình .",2,0
6339,"thầy rất nhiệt tình , rất quan tâm đến sinh viên .",2,0
6340,giảng viên chỉ nói những gì có trong slide bài giảng mà không giảng thêm .,0,0
6341,hỏi cũng không nhận được câu trả lời chính xác để học .,0,3
6342,thầy cô nên đưa thêm các đoạn video ngắn để luyện cho học sinh cách nghe được tốt hơn .,0,0
6343,nội dung nói hay .,2,0
6344,đề thi thì trong vòng 90 phút phải code hoàn chính game 2048 .,0,1
6345,thầy chú trọng trọng tâm và luôn kể chuyện vui .,2,0
6346,"là người giáo viên quan tâm tới sinh viên nhiều nhất từng biết , giảng dạy tân tình từng chút một , dễ hiểu , lắng nghe sinh viên , tài liệu cập nhật đầy đủ ngay sau buổi học , nhờ đó sinh viên dù tư duy kém nhưng vẫn theo kịp chứ không nản , bỏ bê , ngủ như mấy môn khác .",2,0
6347,"rất nhiệt tình giúp đỡ sinh viên , cách giảng dạy hay .",2,0
6348,nhiều kiến thức hơn .,0,1
6349,cần tạo kênh liên lạc giữa sinh viên và giảng viên để sinh viên có thể nhận được thông báo từ giảng viên .,0,3
6350,tâm huyết nhiệt tình chu đáo .,2,0
6351,nhờ cô em hiểu hơn về nội dung bài học và có động lực hơn .,2,0
6352,"thầy dạy nhiệt tình , đầu tư cho sinh viên đi tham quan thực tế .",2,0
6353,"slide bài giảng cần chậm hơn , nhất là những chương cuối !",0,0
6354,"thầy đi trễ , không cho sinh viên làm bài tập nhiều trên lớp , một dạng bài nào đó thầy nói qua rồi thì cho qua luôn .",0,0
6355,thầy giảng bài kỹ !,2,0
6356,phần thực hành và lý thuyết phải đi cùng tiến độ .,0,1
6357,thầy liên hệ thực tiễn rất nhiều .,2,0
6358,thầy chưa biết sử dụng hệ thống courses để thông báo tin tức cho học sinh .,0,0
6359,giảng viên nhiệt tình và tận tâm với sinh viên .,2,0
6360,giáo viên gửi tài liệu hơi chậm .,0,0
6361,"giảng viên thân thiện , nhiệt tình trong giảng dạy .",2,0
6362,cho bài tập về thì chỉ biết kêu là làm đi và không hỗ trợ gì nhiều .,0,0
6363,"đặc thù môn học là phải ghi phấn , nên tiết bài tập tuyệt đối không nên sử dụng máy chiếu để giảng !",0,1
6364,thật sự anh văn là một môn rất quan trọng trong lĩnh vực công việc và học tập .,1,1
6365,cô wzjwz93 giảng bài rất hay .,2,0
6366,"cô dạy rất nhiệt tình , có tâm với nghề , đề nghị trường khen thưởng và tìm kiếm những giảng viên khác như cô .",2,0
6367,thầy cực kỳ tận tâm và cực kỳ nhiệt tình .,2,0
6368,"cập nhật những đổi mới về môn học , nên có chương trình đào tạo phù hợp hơn .",0,1
6369,giảng lý thuyết hơi khó hiểu .,0,0
6370,"giảng viên nên hạn chế dùng slide , hướng dẫn cụ thể hơn cho sinh viên .",0,0
6371,điểm danh đúng giờ .,2,1
6372,thầy dạy khá tốt .,2,0
6373,em xin nhà trường xem lại bài thi anh văn đầu vào .,0,1
6374,cứ mỗi khi có thắc mắc thì lại không thể tìm thấy giáo viên thực hành để được giải đáp .,0,0
6375,"cô wzjwz304 rất tận tâm , nhiệt tình giảng dạy , giải đáp thắc mắc rất cụ thể .",2,0
6376,cô cho bài tập về nhà hơi nhiều .,0,0
6377,"nội dung lan man , khó áp dụng vào thực tế .",0,1
6378,"thầy dễ thương , đẹp trai , kiến thức chuyên môn cao , tận tâm , nhiệt tình trả lời thắc mắc của sinh viên , em yêu thầy , hy vọng được gặp thầy ở các môn học sau .",2,0
6379,"cô rất rất nhiệt tình và tận tâm , sẵn sàng giải thích các vấn đề thắc mắc cho sinh viên .",2,0
6380,thầy dạy rất nhiệt tình và sẵn sàng giải đáp thắc mắc .,2,0
6381,"thú vị , cải thiện khả năng giao tiếp bằng tiếng anh .",0,1
6382,chúc thầy thành công .,2,0
6383,"đối với em thì cách thầy giảng khá là dễ hiểu nên thầy đừng lo quá về vấn đề đó ạ , với lại sinh viên đa phần thụ động nên nếu không hiểu lại càng không dám hỏi .",2,0
6384,"giảng viên nhiệt tình thân thiện , vui tính , trình độ cao .",2,0
6385,giảng viên giúp sinh viên nắm bắt được những kỹ năng làm việc nhóm cơ bản .,2,0
6386,"tận tình , nhiệt tình giúp đỡ sinh viên .",2,0
6387,"cô dạy nhiệt tình , tạo được động lực cho sinh viên .",2,0
6388,phương pháp dạy phải cụ thể chi tiết hơn .,0,0
6389,ngoài ra cũng cần có tiết học để sinh viên được nói tiếng anh với nhau nhiều hơn !,0,1
6390,giảng viên dạy rất hay .,2,0
6391,nên để sinh viên tự tìm hiểu lý thuyết trước ở nhà đến trường giảng viên chỉ cần giải thích các vấn đề không rõ sau đó đi thẳng vào giải các bài tập .,0,0
6392,nhập tâm .,2,0
6393,"nên cho bài tập hàng tuần sát với nội dung bài học và nội dung thi , giảng viên cần giảng chậm lại , làm bài tập vận dụng chứ không nên nói một lèo cho hết slide rồi mới làm bài tập .",0,1
6394,cô giải ít bài tập .,0,0
6395,hơi khó tính về chuyện điểm danh .,0,0
6396,"lớp thực hành nhóm 2 bảo quản thiết bị quá yếu , do chia thiết bị không theo nhóm cố định , đến nhóm 1 thực hành là thiết bị trong bộ kit phân cho nhóm mình thiếu hụt , hư hỏng linh tinh .",0,2
6397,"thầy rất có tâm huyết với sinh viên , thầy cũng giảng và hướng dẫn rất đầy đủ tuy lớp mất tiết khá nhiều .",2,0
6398,thầy cần giao bài tập mỗi buổi lên lớp .,0,0
6399,"phòng học còn nóng và bụi bặm , máy chiếu tuy vẫn nhìn được nhưng vẫn mờ , nếu ngồi xa hay hôm nào sáng quá sẽ không thấy rõ .",0,2
6400,phương pháp giảng dạy tạo hứng thú cho học sinh .,2,0
6401,nghỉ học thường xuyên .,0,0
6402,"thầy giảng chi tiết , dễ hiểu .",2,0
6403,môn này giải bài tập khá nhiều và khó .,0,1
6404,"nên có các buổi ra ngoài tiếp xúc ví dụ như quận 1 có các người nước ngoài , trung tâm văn hóa thanh niên có câu lạc bộ tiếng anh .",0,1
6405,"những thiết bị phục vụ cho việc giảng dạy cần được trang bị tốt hơn , ví dụ như máy chiếu hơi bị mờ , các bạn ngồi ở phía sau không thấy , phòng học chỉ có 2 cái phạt , rất nóng nực vào mùa hè .",0,2
6406,giảng viên còn vắng nhiều buổi và thông báo vắng chưa hợp lý .,0,0
6407,"giảng bài chi tiết , cụ thể .",2,0
6408,"cô dạy tâm huyết , giảng dạy nhiệt tình , tương tác nhiều với sinh viên .",2,0
6409,nên có hướng dẫn chi tiết hơn .,0,0
6410,"thầy có hơi khó khăn trong phần điểm danh , vài lần em vào trễ nhưng không được thầy điểm danh .",0,0
6411,giáo viên tận tâm và nhiệt tình .,2,0
6412,"giờ thực hành hầu như không dạy được gì , nên lúc đầu em thường ra sớm và sau đó không vào lớp thực hành .",0,1
6413,các ví dụ dễ hiểu dễ áp dụng .,2,0
6414,giảng viên có nhiều bài tập giúp sinh viên nắm rõ bài và có thể áp dụng vào thực tế .,2,0
6415,chia sẻ nhiều câu chuyện thú vị .,2,0
6416,hướng dẫn cách tiếp cận bài mới khó hiểu .,0,0
6417,vì lịch thực hành không được sắp xếp từ đầu dẫn đến trùng giờ với môn khác .,0,1
6418,"thầy dạy khá hay và dễ hiểu , thầy vui tính , thầy đặt ra nhiều vấn đề hay cho học sinh em xin cảm ơn .",2,0
6419,"giảng viên chuẩn bị bài giảng đầy đủ , giảng hay .",2,0
6420,"thầy rất tâm huyết , nhiệt tình và vui vẻ hòa đồng với sinh viên .",2,0
6421,nhiều khi giải đáp còn khó hiểu .,0,0
6422,em không hề thấy thầy đứng lớp .,0,0
6423,"thầy dạy nhiệt tình , giảng rất chi tiết từ lý thuyết đến thực hành .",2,0
6424,"giảng đường ngột ngạt và nóng nực , từ tiết 2 trở đi thì rất khó tập trung học .",0,2
6425,thầy có tâm trong việc truyền đạt cho sinh viên .,2,0
6426,cần phương pháp học môn này .,0,1
6427,"cô giảng nhiệt tình , chỉ bài cho tụi em thì lại tới chỗ .",2,0
6428,thầy rất tận tâm và truyền đạt kiến thức rất tốt colonsmile .,2,0
